text,label
Best at the chase down block ever,Hot Take
The JRich 360 block is so funny (and incredible). I forgot all about that one.,Reaction
One of the best athletes in any sport,Hot Take
"So let me get this straight a 6,9 forward with elite speed and power combined with a computer-made brain for bball wasnt created in a lab? Watching this man play at 42 is a blessing.",Reaction
the most athletic player ever,Hot Take
He's still so athletic it makes people forget how much less athletic he is than his prime,Analysis
His otherworldly longevity has made many casuals forget what his play style looked like at this point in his career.,Analysis
The documentary will be 100 hours long and still not be enough,Reaction
"He's so good that despite being the all-time leading scorer in NBA history, his signature move has to be the chase down block.",Analysis
imagine being there for this in real time,Reaction
"legit would float yet still body people regularly, i wish i was into basketball heavy during this time smh",Reaction
Jay Rich was mad as hell on that blocked dunk.,Reaction
People say that Miami Lebron was the most athletic version of him but don't remember his first stint with Cleveland. He was genuinely the strongest guy out there while moving lightning quick. I've never seen anything like that since.,Analysis
Young Bron still the alien among aliens for me.,Hot Take
Young Shaq was the closest freak athlete to LeBron I've ever seen live. LeBron is on a different level.,Hot Take
That is actually terrifying,Reaction
Are zoomers going to be saying LeBron played with plumbers because they can't name anyone on these highlights,Hot Take
It was him and pretty much corpses on those Cleveland teams and he still willed them into the playoffs,Analysis
He doesn't even make a move sometimes. He just goes right and that's it.,Analysis
Never seen a talent like him before or after.,Hot Take
Still have his rookie bobblehead from my first NBA game,Reaction
Some of these clips don't even make sense. Absolutely mind blowing,Reaction
Most of these plays would be your average player's career highlight. It's not comprehensible how good LeBron was.,Hot Take
"Imagine this guy also being the smartest guy on the court 9/10 times. All time draft, LeBron is still one. Over Kareem, Jordan, Shaq, whoever.",Hot Take
Always crazy to think that his career tape includes highlights against both fathers and their sons,Analysis
Jason Richardson going for the 360 on the breakaway always cracks me up,Reaction
And people still think he wouldn't survive the 80s,Hot Take
The best to ever do it,Hot Take
The most athletic human I've ever seen and it's not close.,Hot Take
"Underdog? Lol, Durant is delusional",Reaction
Craziest shit I've ever heard - yeah good on you for joining the scrappy underdog 73 win team,Reaction
Bro genuinely lives in his own reality,Reaction
Lmfao Kevin,Reaction
Whatever he has to keep telling himself,Hot Take
"KD, they had won 73 games and were inches away from going back to back with the same core you joined. Just admit you went there because you didn't think you could win in OKC and move on.",Analysis
Man shut up KD. You know exactly what you did,Reaction
Legacy points deducted,Hot Take
Bro they won without you both BEFORE you joined and AFTER you left. Meanwhile the snake hasn't won shit outside of GSW. Pathetic.,Analysis
"Yeah 50s were very relevant for the time when he came there, lmao",Reaction
All NBA player and also Olympic medalist in mental gymnastics,Reaction
The plucky 73-9 underdog team,Reaction
All time Bus Rider talking,Hot Take
Jesus this is so incredibly pathetic.,Reaction
Bro have some dignity and just own what happened.,Reaction
Yo that's wild,Reaction
KD was very brave to join such a hopeless organisation.,Reaction
So why did you join them? This statement doesn't stand on its own bullshit.,Analysis
Softest superstar of all time,Hot Take
He's the first man to successfully ring chase and still live in insecurity about how he got them,Hot Take
That is the most childish take I've heard.,Reaction
damn KD really is just a fucking douchebag,Hot Take
Lmao get a fucking grip,Reaction
They were more like good coworkers. But also holy delusion lmao,Analysis
LMAO this dude is still tryna convince himself he didn't take the easiest way out,Hot Take
Dude is an elite player but outside of that he always exposes himself as a clown,Hot Take
This is probably in the top three for dumbest things this guy's ever said,Hot Take
Agreed. And that's saying something.,Reaction
Absolutely deranged,Reaction
73-9 is an underdog in the league 🤣,Reaction
What is this lunatic even saying,Reaction
These podcasts are gonna be the death of some NBA players reputation,Hot Take
At least have the dignity of saying this through a burner account,Reaction
Just an absolute loser wow,Hot Take
He should just stop talking about this stuff at this point. Every time he tries to justify it he comes off looking worse than before,Analysis
The Pistons wouldn’t trade Cade Cunningham for anyone not named Victor Wembanyama,Hot Take
Neither holy shit. No offense,Reaction
They just don’t make sense,Reaction
So Magic could get Brown + a 1st for Franz + WCJ? But settle for KD and 2 1st instead?,Analysis
"They couldn’t get Brown and a 1st. Brown is the clear better player, at least with KD there’s a debate",Analysis
"The second trade, Magic send Franz + WCJ to Boston. Boston send out Brown + a first. Boston get nothing else from that trade so why wouldn’t the Magic get Brown instead of KD?",Analysis
DET / HOU is the closest but I don’t see DET pulling the trigger. They’ve built their team around Cade and the HOU package just isn’t enough to do the about-face on that decision.,Analysis
ORL / HOU / BOS: HOU somehow ends up with worse shooting than they have now and somehow give up a Top 10 pick for the right. Just sending Brown to ORL makes more sense.,Analysis
"WASH / UTH: personally don’t think UTH cares to move up that much. In the end, Peterson is actually the better fit for that squad.",Analysis
Pistons is the farthest. There is a 0.0% chance they would trade Cade unless it’s for Wemby and that’s probably the end of the list. And definitely not for another Thompson who can’t shoot and KD who has maybe 2 great years left.,Analysis
lol Detroit wouldn’t do this,Reaction
Imagine the spacing with two Thompsons and Duren lol,Analysis
Imagine the Magic being dumb enough to trade Franz for KD,Hot Take
Bro just stop and do something else with your time,Reaction
You’re missing about 10 picks in that Cade trade. They’d still say no.,Analysis
I'm in the party that Dirk and Luka have covered a lot of the Mavericks' front office flaws because otherwise the front office has done a lot of puzzling things in the last 15–20 years.,Analysis
The Mavericks were top 5 in record from 2000–2020 and were the only team that didn't win multiple titles. I would agree with this sentiment.,Analysis
"Hope it's Royal Ivey, I was really impressed with that South Sudan team.",Hot Take
I have been very unimpressed with Houston's offense and how the players have been meshing together culturally there. That team's identity stinks.,Analysis
Still unbelievable how we didn't tank that Grizzlies and Lakers game. We would've never been in this situation of the 9th pick and missing out on the top guards.,Analysis
Very frustrating knowing what could've been. Watching the teams that did tank get rewarded for it.,Reaction
The hardest thing about it is watching the most egregious tanking teams get rewarded.,Reaction
"But no, we should compete for the play-in as some folks in here said.",Hot Take
We went from getting Mikel/Wagler/Acuff to hoping Fleming drops or trading down.,Analysis
Crazy that people would rather tank the Lakers game than see Cooper score 50 as a rookie.,Hot Take
That means nothing in long-term team building. Ask Flagg if he'd rather have a better teammate or a 50-point game in his highlights.,Analysis
"Obviously loved to see him score, but we are in a bad situation and have to prioritize the future.",Analysis
We made the next 5 years so much harder for no reason. We wasted a perfect chance at getting an elite talent.,Analysis
You literally just had to pull him out of that game. That's a coaching decision and possibly alone justified firing Kidd.,Analysis
I am still opposed to the AD trade in the first place.,Hot Take
Worked out well for the Wizards. Now watch them flip him for good players or picks when he gets healthy.,Hot Take
"This right here, not sure why we ever kept Middleton around to play.",Analysis
All those injuries and mediocre salary dumping trades for nothing.,Reaction
The Mavs almost missed out on Flagg by not tanking the year before.,Analysis
Some exciting names and Terry Stotts.,Reaction
I will be disappointed if the Mavs don't trade down and pick up additional assets. This is the perfect draft to do this.,Analysis
"I agree. Unless someone falls, we should trade back and try to get another pick.",Analysis
Noah LaRoche is the guy credited with that high school Grizzlies offense and the new Miami Heat offense.,Analysis
Royal Ivey got spotlight with South Sudan.,Analysis
This lengthy coaching search only makes sense if we get one of these two.,Analysis
Micah Nori was an assistant coach for the Raptors when Masai Ujiri was there.,Analysis
We should have gotten the Memphis 3rd pick. Guaranteed franchise player.,Hot Take
"Imagine Peterson, AJ, Cam Boozer or Caleb Wilson alongside Flagg + Kyrie / Lively. Scary team.",Hot Take
"Whomever they choose for coach, it seems like that should happen before the draft.",Analysis
"I'm not too concerned yet. But if we're into July and there's still no coach, I'll start to wonder.",Analysis
It feels more like they're underwhelmed by their options.,Analysis
It's Micah Nori.,Analysis
I have a feeling we'll end up with Stotts as a one-year interim.,Hot Take
The trade market doesn’t even open until July 6.,Analysis
Teams who are out of the playoffs can trade with each other but this is obviously fake news.,Analysis
I thought trades can happen as soon as your season ends?,Analysis
That's free agency. Teams who aren't in the playoffs can execute trades right now. This news is still obviously fake though.,Analysis
You can’t even start trading yet you fucking goofy. Imagine spreading gossip.,Reaction
There’s no way the Wolves trade Gobert and get Bradley Beal in return.,Analysis
Beal would not be the point of the trade in this hypothetical.,Analysis
But you traded two key pieces for one piece and a guy who literally cannot play in the league anymore.,Analysis
You saw this and believed it?,Reaction
Fake news.,Reaction
Do not fucking scare me like that...,Reaction
Source? Even going to try anymore or are we literally just saying whatever?,Reaction
lol,Reaction
Bradley Beal has been known over the years to push a team deeper into championship contention.,Hot Take
Why the hell would they get rid of Gobert? He is easily one of the best things about that team currently.,Analysis
Video game nonsense.,Reaction
No!,Reaction
Pre Tim Connelly Wolves type move.,Hot Take
Beal of Bradley.,Reaction
Not the answer. If I was Leonard I'd go back to the Spurs.,Hot Take
Still wouldn’t make the Wolves better than the Thunder or Spurs. Ant’s best option will be to get out of Minnesota eventually.,Hot Take
So the Wolves give away all their bigs and start Naz Reid at center? Unless there’s a second deal to land Giannis why would the Wolves do this?,Analysis
Nets have a ton of cap space. Spurs would be instant bidders in free agency with Wemby on the last year of his rookie deal. There is some sense to clearing the books.,Analysis
Get rid of Fox. We already have a better and younger starting caliber guard in Harper.,Hot Take
"We could use all that freed up money to re-sign Julian, sign a PF, and fill out the bench with depth.",Analysis
The Spurs aren't going to send out multiple firsts to salary dump Fox.,Analysis
There aren't enough free agents available to make clearing space this summer worthwhile.,Analysis
No. Not willing to give up 2 firsts just to get off his contract.,Analysis
OKC is strong because they have the ability to retool bench players. It's not possible to do that without future picks.,Analysis
I'm very disappointed with Fox but it's not worth letting go of picks just to get off his contract.,Analysis
If we don't get rid of him now we won't be able to offload him when it's time to pay Castle and Harper.,Analysis
Better to ride out the contract for a bit.,Analysis
Send him home to Houston where he belongs. Low IQ players don't belong on the Spurs.,Hot Take
Hell yeah. I would give up even more firsts if that's what it takes. I don't want to see this dude wear the Spurs uniform again.,Reaction
Today I am. Ask me again after I cool off.,Reaction
Fox is a two-way ass can. That's true 24 hours a day.,Hot Take
The Bulls are currently trying to collect every mid point guard in the league.,Hot Take
Maybe we could get Tre Jones back from the Bulls too. Would actually be a nice backup PG.,Analysis
Please get him off the team.,Reaction
Fox can easily bring a dud team into the 7–10 range.,Analysis
He is now the perfect tank commander.,Hot Take
I wouldn't mind exploring a Fox and picks trade for Trey Murphy.,Analysis
Pels fart on the phone.,Reaction
"If the Spurs front office keeps trying to play him over Harper next season, we riot.",Reaction
I would do this and not even think twice.,Reaction
"With Wemby, Harper, and Castle, it's safe to assume those picks will be toward the end of the first round anyway.",Analysis
The Spurs could definitely try to get some better fits for this roster in free agency.,Analysis
You can’t receive nothing in return. You’d at least need salary matching contracts.,Analysis
Anything to purge the organization of Klutch clients is a winning recipe.,Hot Take
No way the Nets do this.,Analysis
MPJ for Fox works.,Analysis
"Brooklyn says no, they have a trillion young point guards that need minutes.",Analysis
"Neither of them are any good, not that Fox is either.",Hot Take
Y'all are acting like whiny babies.,Reaction
We would not have made it to the finals without him anyway.,Analysis
This is a great trade for us.,Hot Take
Not even a ham sandwich in return.,Reaction
You just can't sell giving up four firsts and getting nothing in return.,Analysis
Fox clearly wasn't making the smart moves in crunch time.,Analysis
Send Fox to the Wizards for AD.,Hot Take
Wizards wouldn't do that but I would actually.,Hot Take
"Wizards are smart. If AD and Trae remain healthy and they draft AJ, they look scary.",Hot Take
"His final year salary of 62M will be stretched. Assets going out looks bad, but it might be worth it.",Analysis
Spurs were better off taking LaVine's contract.,Analysis
Odds are that Fox is back with the Spurs.,Analysis
Great trade.,Hot Take
"I don't know man, I think we're getting too much.",Reaction
We made it to the finals with him.,Analysis
We will eventually have to get rid of Fox but we shouldn't sell too low.,Analysis
That is more realistic. It sends Fox home and gives the Nets assets for expirings.,Analysis
If they take Mitch too then I love it.,Hot Take
Only if we have a free agent lined up that we need the space for.,Analysis
Otherwise let him ride the line with fewer minutes.,Analysis
We all know Mitch won't have the balls to bench him.,Hot Take
Why not Giannis? How far off would we be?,Hot Take
He wants an extension.,Analysis
The Portland–Milwaukee–Boston construction makes the most sense to me.,Analysis
This is purely speculation on my part.,Analysis
Appreciate the effort compiling all this together.,Reaction
I still think Portland–Boston–Bucks has a decent chance of happening.,Hot Take
"To me, the only package that makes sense involves Portland and getting some of their picks back.",Analysis
I think the offers for Giannis are generally lower than the Bucks thought they might get.,Analysis
The Warriors offer is one the Bucks would definitely consider now.,Hot Take
Raptors with Barnes and Giannis would be a menace.,Hot Take
It seems Giannis probably gets traded to Boston.,Hot Take
I would've swung at the Warriors offer because of how much upside those picks have.,Analysis
Toronto has not been mentioned anywhere and is a pipe dream.,Analysis
Giannis is likely a Heat player or a Celtic.,Hot Take
Does Portland warrant a spot among Jaylen Brown suitors?,Analysis
One million percent.,Hot Take
I don’t expect any draft trades to happen until Giannis is traded.,Hot Take
The entire league is waiting to see how this saga ends before they start making trades.,Analysis
5th pick and Kawhi for Giannis? No thanks.,Reaction
What about the Cavs as recipients in a Giannis trade?,Analysis
No way Portland is putting Clingan in this.,Analysis
Grant + Sharpe + Scoot + Bucks picks + Orlando unprotected.,Analysis
I don’t think they include Clingan either.,Analysis
You pulled that out of your ass.,Reaction
GSW’s package was trash.,Hot Take
Bill Simmons is a dumbass.,Reaction
The Clippers have to send Kawhi to the Bucks as part of any package to salary match.,Analysis
Why does it have to be Kawhi? The Clippers have other salaries and favorable matching rules.,Analysis
The Celtics can easily sweeten the deal with future picks.,Analysis
The Celtics package feels stronger than the Heat package.,Analysis
Celtics would be much closer to a title contender than Miami.,Hot Take
Maybe I’m just a homer.,Reaction
I’m not sure how the Heat offer is more compelling for either the Bucks or Giannis.,Analysis
Glad my team isn't in these sweepstakes anymore.,Reaction
Pray that the Clippers don't do that terrible trade.,Reaction
Good luck to anyone trading the farm for one season of a 32-year-old Giannis.,Hot Take
Missing 10–15 games a year is pretty average.,Analysis
"Without those concerns, there’s no scenario where you could realistically acquire a top-5 player like Giannis.",Analysis
He’s astonishingly similar to 2007 KG.,Analysis
Can't imagine all this buzz around Brown being traded helps team chemistry.,Analysis
It pretty much happens every offseason with him.,Analysis
Heat are just offering the Dame package for Giannis. Nobody wants Herro.,Hot Take
Blazers is the best package for the Bucks and for Giannis.,Hot Take
Giannis doesn’t want to play in Portland.,Analysis
Rejecting that Warriors package was stupid. Four picks?,Hot Take
All awful picks. Their offer was garbage.,Hot Take
The Bucks are probably delaying the deal to squeeze out more value.,Analysis